Start time,End time,German ><,English!
1.3,10.5,Eine Computeranimation: Auf einen schroffen Berg mit schneebedeckter Flanke fliegt eine Reihe Sterne zu. Sie bilden einen Kranz um den Gipfel: 'Paramount'.,A computer animation: On a rocky mountain with snowy flank flies a series to star. They form a ring around the summit: 'Paramount'.
15.9,19.5,Vor bewölktem Himmel schwebt eine grau-weiße Feder durch die Luft.,Against cloudy sky floats a gray-white feather through the air.
22.6,25.8,In einer Stadt segelt sie über die Baumkronen eines Parks.,In a city she sails over the treetops of a park.
31.7,36.7,Ein Robert-Zemeckis-Film: Tom Hanks als 'FORREST GUMP'.,Ein Robert-Zemeckis-Film: Tom Hanks als 'FORREST GUMP'.
40.7,61,Die Feder fliegt ein paar Meter über den Wipfeln. Robin Wright als Jenny; Gary Sinise als Lieutenant Dan; Mykelti Williamson als Bubba und Sally Field als Missis Gump; Musik: Alan Silvestri; Drehbuch: Eric Roth; Nach dem gleichnamigen Roman von Winston Groom; Regie: Robert Zemeckis.,The spring is flying a few feet above the treetops. Robin Wright as Jenny; Gary Sinise as Lt. Dan; Mykelti Williamson as Bubba and Sally Field as Missis Gump; Music: Alan Silvestri; Screenplay: Eric Roth; After the novel by Winston Groom; Directed by Robert Zemeckis.
68.7,73,In der Nähe eines Kirchturms sinkt die Feder vor einem weißen Gebäude langsam tiefer.,Near a church tower the spring falls in front of a white building slowly deeper.
77,91.5,"Die Hörfilmfassung wurde produziert vom Bayerischen Rundfunk im Auftrag des Schweizer Fernsehens; Text: Koop, Michalski und Beckmann – Hörfilm e.V; Redaktion: Elmar Dosch und Bernd Benecke; Tonmischung: Herbert Glaser; Sprecher: Thomas Meinhardt.","The Hörfilmfassung was produced by Bayerischer Rundfunk on behalf of Schweizer Fernsehen; Text: Koop, Michalski and Beckmann - Hörfilm eV; Editorial: Elmar Dosch and Bernd Benecke; Re: Herbert Glaser; Speaker: Thomas Meinhardt."
93,101,"Die Feder trudelt zu einer Straße hinunter, Die durch den Park führt. Ein Mann bleibt kurz am Bordstein stehen. Die Feder landet sanft auf seiner Schulter.",The spring is coasting down to a road that leads through the park. A man remains briefly standing at the curb. The spring lands softly on his shoulder.
105.6,124.9,"Der Mann überquert die Fahrbahn. Die Feder schwebt weiter über die Windschutzscheibe eines Chevrolets. Sie sinkt bis dicht über den Asphalt und fliegt unter einem Wagen hindurch, der an einer Bushaltestelle vorbeifährt. Die Feder wird wieder hochgewirbelt und trudelt zu einem Mann auf einer Wartebank. Sie landet an einem seiner abgewetzten Nike-Laufschuhe.",The man crossed the road. The spring hovers continue over the windshield of a Chevrolet. She sinks resistant to over the asphalt and flies under a carriage through which passes by a bus stop. The spring is swirled again and coasts to a man waiting on a bench. She ends up at one of its scuffed Nike running shoes.
126.2,145.7,"Der Mann hebt sie auf und betrachtet sie. * Er ist etwa vierzig, schlank und braungebrannt und hat kleine dunkle Augen. Sein kurzes dunkles Haar mit Geheimratsecken ist über den Ohren ausrasiert. Er trägt einen hellen Anzug und ein blau kariertes Hemd. * Der Mann nimmt eine Pralinenschachtel von einem kleinen Koffer und öffnet ihn.","The man picks it up and looks at it. * He is about forty, slim and tanned and has small dark eyes. His short dark hair with a receding hairline is shaved over the ears. He is wearing a light-colored suit and a blue plaid shirt. * The man takes a box of chocolates from a small suitcase and opens it."
147,160.2,"Zwischen den akkurat gepackten Sachen liegen auch ein rotes Käppi und ein Tischtennisschläger. Aus dem Kofferdeckel zieht der Mann das Kinderbuch 'Curious George'. Er legt die Feder hinein, Schließt den Koffer und stellt ihn neben sich.","There are also a red cap and a ping-pong bats Between accurately packed stuff. From the trunk lid of the man pulling the children's book 'Curious George'. He puts the spring in, closes the suitcase and puts it next to him."
161.8,164.4,Der Mann schaut mit ernstem Gesicht in Leere.,The man looks with a straight face in emptiness.
166.1,175.2,Ein Linienbus hält. (bisschen QUIETSCHEN) Darauf eine Werbung für ein neues Automodell von 1981.,A public bus stops. (little squeak) Thereupon an advertisement for a new car model of the 1981st
178.6,189.1,Der Mann öffnet die Pralinenschachtel. Eine schwarze Frau in Schwesterntracht setzt sich zu ihm auf die Bank. Schnell macht der Mann die Schachtel wieder zu. Die Krankenschwester blickt in eine Zeitschrift.,The man opens the box of chocolates. A black woman in a nurse's uniform sits down beside him on the bench. Quick makes the man the box again. The nurse looks at a magazine.
194.4,199.6,"Die Schwester sieht kurz hoch, nickt und liest weiter. Forrest hält ihr die geöffnete Pralinenschachtel hin.","The nurse looks up briefly, nods and continues reading. Forrest holds out the opened box of chocolates."
202,203.1,Sie schüttelt den Kopf.,She shakes her head.
214.1,215.5,Er steckt sich eine in den Mund.,He puts one in his mouth.
217.9,219.4,Die Schwester reagiert nicht.,The nurse does not respond.
221,223.6,Forrest zeigt auf ihre strahlend weißen Halbschuhe.,Forrest shows on its gleaming white loafers.
251.6,254.7,Interessiert sieht die Schwester von ihrem 'People'-Magazine zu ihm.,Interested sees the sister of her to People Magazine to him.
266.3,268.2,Er kneift die Augen fest zu.,He squints too tightly.
276.1,276.8,ss Ein Arzt:,ss A doctor:
278.2,284.7,"s Der etwa 10-jährige sitzt auf einer Liege und starrt auf seine Beine, an die Metallschienen geschnallt sind. Der dicke Arzt hebt ihn runter.","s The 10-year-old sitting on a couch, staring at his legs are strapped to the metal rails. The fat doctor lifts him down."
288.6,292.7,"Mit steifen Knien stakst der Junge an einer Dunkelhaarigen vorbei, die auf einem Stuhl sitzt.","With stiff knees the boy stalking past a dark-haired, sitting on a chair."
295.8,298.1,Der Arzt hat eine brennende Zigarette im Mundwinkel.,The doctor has a burning cigarette in his mouth.
310.8,312.2,ss Der kippt um.,ss The topples.
321.6,324,"(""Und was hat der gemacht?"" Übersprechen) Ss Ein alter Film vom General, Der aussieht wie Forrest.","(""And what did the?"" Crosstalk) Ss An old film from the General, who looks like Forrest."
350.5,355.5,s Auf einer Straße: An der Hand seiner Mutter bleibt der kleine Forrest mit einer Schiene in einem Gully-Gitter stecken.,s On a street: At his mother's hand the small Forrest with a rail in a gully gratings stuck.
363.6,365.5,"(""Das muss doch da raus"" [???] Übersprechen) Ss Zwei Männer vor einem Friseurladen:","(""That's got to get out there"" [???] crosstalk) Ss Two men in front of a barber shop:"
416.7,418,ss Sie steuern aufs Haus zu.,ss You are heading for the house.
425.1,427,Vor der breiten Veranda bleiben sie stehen.,Before the wide porch they stop.
434.1,434.7,ss Ein Büro:,ss An office:
445.5,447.9,ss Forrest sitzt neben der offenen Tür im Schulflur.,ss Forrest sitting next to the open door in the school hallway.
511.9,513.9,Hancock mustert sie lüstern.,Hancock She looks lustfully.
517,517.5,Abends:,In the evening:
519.1,524,Forrest sitzt vor dem Haus auf einer Schaukel und blickt zu Boden. Im ersten Stock brennt Licht.,Forrest sitting in front of the house on a swing and looks at the ground. On the first floor light burns.
527.9,532.9,Verschwitzt kommt Hancock aus dem Haus auf die Veranda. Dort sitzt Forrest teilnahmslos in einem Schaukelstuhl.,Sweaty comes Hancock out of the house onto the porch. There Forrest sits impassively in a rocking chair.
537.4,542.2,Mit einem Taschentuch wischt er sich über den Hals und sieht zu Forrest. Der starrt ins Leere.,With a handkerchief he wipes his neck and looks to Forrest. The staring into space.
545.3,546.6,Forrest schaut Hancock an.,Forrest looks at Hancock.
550.5,555.4,Hancock marschiert davon. * s Die Mutter sitzt mit dem Buch 'Curious George' auf dem Bett von Forrest.,Hancock marched them. * S The mother sits with the book 'Curious George' on the bed of Forrest.
578,580.2,Er blickt gedankenverloren zur Zimmerdecke.,He looks thoughtfully at the ceiling.
586.9,587.7,Es ist Tag.,It's day.
619.8,622.7,Missis Gump geht neugierig zu einer geschlossenen Zimmertür.,Missis Gump is curious to a closed door.
624.2,629.5,s Forrest schwingt mit gebeugten Knien die Hüften und hält sich an einem Besen fest. Der Gitarrist hat eine Tolle.,s Forrest resonates with knees bent hips and holds on to a broom. The guitarist has a great.
645.6,646.2,Sie geht.,She goes.
675.5,677.1,s Im Fernsehen Elvis Presley.,s On TV Elvis Presley.
683.8,687,Er tanzt wie Forrest. Dabei schwingt er lasziv die Hüften.,He dances like Forrest. He swings his hips lasciviously.
690,693,Sie geht. Forrest sieht weiter fasziniert zu Elvis.,She goes. Forrest sees further fascinated to Elvis.
702.4,703.4,s An der Haltestelle.,s at the bus stop.
706.2,708.5,Die Krankenschwester sieht wieder in ihre Zeitschrift.,The nurse looks back to her magazine.
717,718.6,An einer Straße hält ein Schulbus.,Located on a street holding a school bus.
723.9,726,s Die rauchende Busfahrerin sieht Forrest an.,s The fuming bus driver looks at Forrest.
733.2,735.5,Forrest bleibt unschlüssig vor der Tür stehen.,Forrest remains undecided before the door.
743.9,747.7,Dorothy schmunzelt. Forrest steigt etwas mühsam mit seinen Beinschienen ein.,Dorothy smiles. Forrest rises somewhat tedious one with his leg braces.
752,755.7,Er geht durch den fast voll besetzten Bus und blickt auf zwei Jungs in einer Bank.,He goes through the almost fully occupied bus and looks at two guys in a bank.
760.5,768.5,"s Der Platz neben ihm ist leer. Forrest sieht ein Mädchen an, das neben einem anderen sitzt. Es schüttelt den Kopf. Weit hinten sitzt ein Junge allein in einer Bank",s The seat next to him is empty. Forrest looks at a girl sitting next to another. It shakes his head. Far back sits a boy alone in a bank
795.5,797.6,Ein zierliches blondes Mädchen schaut ihn an.,A little blond girl looks at him.
808.1,810.7,Forrest setzt sich und senkt verlegen den Blick.,Forrest sits down and lowers the embarrassed look.
839.2,840.1,s Sie gibt ihm die Hand.,s She gives him her hand.
848.4,849.6,Sie laufen zu einer Eiche.,They run into an oak.
856.6,858.1,ss Er hängt mit einer Hand am Ast.,ss He hangs with one hand on the road.
864.3,865.7,Er hängt kopfüber im Baum.,He hangs upside down in the tree.
874.5,876,s Auf dem Baum nimmt sie seine Hand.,s On the tree she takes his hand.
885.8,888.3,Auf der Wartebank blickt Forrest traurig vor sich hin.,On the waiting bench Forrest looks sadly to himself.
890,892.5,Die Krankenschwester sieht ungerührt in ihre Zeitschrift.,The nurse looks unmoved in their magazine.
896.2,897.3,ss Die Schwester blickt hoch.,ss The sister looks up.
900.2,902.8,ss Forrest und Jenny auf einem Weg. Er kriegt einen Klumpen (STUDIO) An den Kopf.,ss Forrest and Jenny on a path. He gets a lump (STUDIO) to the head.
